759	1
963	3
979	2
2009	2
2137	3
3903	1
4533	2
7073	1
7192	2
7388	2
7389	1
7669	2
10866	3
11023	1
11154	8
759	1
963	3
979	2
2009	2
2137	3
3903	1
4533	2
7073	1
7192	2
7388	2
7389	1
7669	2
10866	3
11023	1
11154	8
759	1
963	3
979	2
2009	2
2137	3
3903	1
4533	2
7073	1
7192	2
7388	2
7389	1
7669	2
10866	3
11023	1
11154	8
759	1
963	3
979	2
2009	2
2137	3
3903	1
4533	2
7073	1
7192	2
7388	2
7389	1
7669	2
10866	3
11023	1
11154	8
763	1
967	3
983	2
2016	2
2144	3
3915	1
4548	2
7090	1
7209	2
7406	2
7407	1
7687	2
7858	1
10887	3
11044	1
11175	8
