352	3
649	2
1796	1
1833	3
2715	1
2845	1
3068	2
4045	1
4270	1
4274	1
4552	1
4887	1
4999	1
5415	2
7269	3
7362	2
8329	1
10251	2
10664	3
352	3
649	2
1796	1
1833	3
2715	1
2845	1
3068	2
4045	1
4270	1
4274	1
4552	1
4887	1
4999	1
5415	2
7269	3
7362	2
8329	1
10251	2
10664	3
352	3
649	2
1796	1
1833	3
2715	1
2845	1
3068	2
4045	1
4270	1
4274	1
4552	1
4887	1
4999	1
5415	2
7269	3
7362	2
8329	1
10251	2
10664	3
352	3
649	2
1796	1
1833	3
2715	1
2845	1
3068	2
4045	1
4270	1
4274	1
4552	1
4887	1
4999	1
5415	2
7269	3
7362	2
8329	1
10251	2
10664	3
353	3
652	2
1803	1
1840	3
2721	1
2850	1
3075	2
4057	1
4284	1
4288	1
4567	1
4903	1
5016	1
7286	3
7379	2
8346	1
10271	2
10685	3
