2	1
5	1
17	3
41	1
75	1
154	1
180	1
186	1
207	1
209	2
253	2
254	1
255	1
261	1
262	1
304	1
319	1
365	2
380	1
438	1
462	1
503	1
547	1
555	1
600	1
601	1
627	2
670	1
701	1
736	1
745	1
763	1
840	1
866	1
882	1
984	1
1064	1
1084	1
1210	1
1260	1
1269	2
1313	1
1322	1
1328	1
1335	1
1343	1
1376	2
1377	1
1458	1
1580	1
1606	1
1621	1
1624	1
1719	1
1727	1
1759	1
1769	1
1770	1
1776	1
1779	1
1785	1
1795	1
1812	1
1815	1
1816	1
1818	1
1834	1
1847	1
1870	1
1875	1
1897	1
1900	1
1978	1
2009	1
2026	1
2138	1
2171	1
2176	1
2178	1
2248	1
2300	1
2306	1
2316	1
2323	1
2346	1
2379	3
2436	1
2442	1
2456	1
2536	1
2540	1
2555	1
2574	1
2667	1
2685	1
2689	1
2693	1
2695	1
2714	1
2723	2
2733	1
2749	1
2846	1
2851	1
2852	1
2865	1
2876	1
2889	1
2938	1
2941	1
2943	1
2971	1
3016	1
3027	1
3040	1
3065	1
3066	1
3091	1
3153	1
3156	1
3160	1
3169	1
3177	2
3188	1
3227	1
3232	1
3273	1
3276	2
3434	1
3451	1
3469	1
3480	1
3490	1
3505	1
3553	1
3570	1
3659	1
3663	1
3849	1
3908	1
3967	1
3970	1
3972	2
4010	1
4036	1
4135	1
4143	1
4171	1
4264	1
4276	1
4299	1
4327	1
4365	1
4423	1
4443	1
4480	1
4512	1
4537	1
4542	1
4545	1
4573	1
4585	2
4598	1
4600	1
4605	2
4618	1
4624	1
4625	1
4626	1
4683	1
4688	1
4689	1
4692	1
4736	1
4757	1
4760	1
4764	1
4782	1
4826	1
4844	1
4867	1
4873	1
4880	1
4895	1
4898	1
4910	1
4958	1
4968	1
4976	1
4981	1
4996	1
5006	1
5057	1
5078	2
5097	1
5100	1
5202	1
5226	2
5275	1
5306	1
5313	1
5318	1
5342	1
5345	1
5371	1
5390	1
5401	1
5406	1
5422	1
5461	1
5462	1
5516	1
5537	1
5550	1
5551	1
5574	1
5583	1
5586	1
5613	1
5630	1
5720	1
5721	1
5725	1
5769	1
5770	1
5857	1
5860	1
5882	1
5963	1
5992	1
6006	1
6049	1
6051	1
6088	1
6129	1
6153	1
6189	1
6199	1
6249	1
6266	1
6271	2
6299	1
6333	1
6335	1
6348	1
6369	1
6398	1
6422	1
6433	1
6434	1
6463	1
6490	1
6532	1
6545	2
6579	1
6581	1
6615	1
6635	1
6667	1
6699	1
6703	1
6763	1
6822	1
6824	1
6838	1
6842	1
6846	1
6857	1
6858	1
6878	1
6905	1
6943	1
7013	1
7017	1
7039	1
7057	1
7075	1
7111	1
7160	1
7200	1
7209	1
7232	1
7250	1
7264	1
7279	1
7282	1
7329	1
7344	1
7348	2
7349	1
7352	1
7363	1
7378	2
7388	1
7389	1
7475	1
7520	1
7526	1
7527	1
7546	1
7547	1
7598	1
7610	1
7629	1
7647	1
7670	1
7700	1
7722	1
7751	1
7754	1
7771	2
7794	1
7805	2
7811	1
7849	1
7879	1
7881	1
7908	1
7949	1
7997	1
8011	2
8017	1
8136	1
8193	1
8200	1
8205	1
8266	1
8296	1
8302	1
8307	1
8310	2
8319	1
8322	1
8334	1
8337	1
8367	1
8375	2
8385	1
8388	1
8402	1
8418	1
8447	1
8495	1
8521	1
8529	1
8546	1
8547	1
8587	1
8640	1
8674	1
8681	1
8688	1
8773	1
8815	1
8842	1
8912	2
9090	1
9112	1
9117	1
9124	1
9127	1
9186	1
9208	1
9224	1
9257	1
9278	2
9527	1
9552	1
9557	1
9574	1
9592	1
9627	1
9675	1
9706	2
9806	1
9812	2
9832	1
9848	2
9888	1
9931	1
9954	1
9972	1
9978	1
9989	1
10005	2
10087	1
10140	1
10157	1
10183	1
10208	1
10225	1
10233	1
10260	1
10299	1
10317	1
10357	1
10400	1
10419	1
10519	1
10527	1
10528	1
10537	2
10550	1
10551	1
10552	1
10646	1
10651	1
10655	1
10659	1
10669	1
10701	1
10705	1
10706	1
10744	1
10812	1
10866	1
10901	1
10915	1
10926	1
10965	1
10968	3
11007	1
11017	1
11041	1
11087	1
11100	1
11103	2
11162	1
11183	1
11192	1
